PEM. CENGKERING,PEMATANG CENGKERING
PAKPAK BHARAT,PAKPAK BARAT
HUMBANG HASUNDUTAN,HUMBANG HASUDUTAN
TOBA SAMOSIR,SAMOSIR
YYK,DAERAH ISTIMEWA YOGYAKARTA
YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
YOGYA,DAERAH ISTIMEWA YOGYAKARTA
WTP,WATAMPONE
WSB,WONOSOBO
WRS,WARIS
WNS,WATAN SOPPENG
WNO,WONOSARI
WNG,WONOGIRI
WKB,WAIKABUBAK
WHO,WOHA
WGW,WANGI WANGI
WGP,WAINGAPU
WGD,WANGGUDU
WED,WEDA
WBL,WAIBAKUL
WAT,WATES
WAS,WAISAI
WAM,WAMENA
UTR,UTARA 
UNR,UNGARAN
UNH,UNAAHA
UJT,UJUNG TANJUNG
TWG,TULANG BAWANG TENGAH
TUNGKOP,TUNGKOB
TUL,TUAL
TUB,TUBEI
TTY,TUTUYAN
TTN,TAPAK TUAN
TTG,TEBING TINGGI
TTE,TERNATE
TSM,TASIKMALAYA
TRT,TARUTUNG
TRP,TAREMPA
TRK,TRENGGALEK
TRG,TENGGARONG
TPT,TUAPEJAT
TPG,TANJUNG PINANG
TOM,TIOM
TOB,TOBELO
TNR,TANJUNG REDEB
TNN,TONDANO
TNG,TANGERANG
TNA,TANAH ABANG
TMT,TILAMUTA
TMR,TIMUR
TML,TAMIANG LAYANG
TMH,TOMOHON
TMG,TEMANGGUNG
TMB,TEMINABUAN
TLW,TALIWANG
TLK,TELUK KUANTAN
TLI,TOLI TOLI
TLG,TULUNGAGUNG
TLD,TELUK DALAM
TKR,TIAKUR
TKN,TAKENGON
TKA,TAKALAR
TJS,TANJUNG SELOR
TJP,TANJUNG PRIOK
TJN,TANJUNG
TJG,TANJUNG
TJB,TANJUNG BALAI
TJ PRIOK,TANJUNG PRIOK
TJ,TANJUNG
TIGA RAKSA,TIGARAKSA
TIG,TIGI
THN,TAHUNA
TGT,TANAH GROGOT
TGL,TEGAL
TGK H M DAUD BEUREUH,TGK H M DAUD BEUREUEH
TG PRIOK,TANJUNG PRIOK
TG,TANJUNG
TEGAL LALANG,TEGALLALANG
TEGAL KERTA,TEGAL KERTHA
TDP,TIDENG PALE
TDN,TANJUNG PANDAN
TBT,TEBING TINGGI
TBN,TUBAN
TBL,TOBOALI
TBK,TANJUNG BALAI KARIMUN
TBH,TEMBILAHAN
TBG,TEBING TINGGI
TAS,TAIS
TAR,TARAKAN
TAPAK TUAN,TAPAKTUAN
TANI MULYA,TANIMULYA
TANG-SEL,TANGERANG SELATAN
