10110 ^ GAMBIR, GAMBIR, JAKARTA PUSAT, DKI JAKARTA
10120 ^ KEBON KELAPA, GAMBIR, JAKARTA PUSAT, DKI JAKARTA
10130 ^ PETOJO UTARA, GAMBIR, JAKARTA PUSAT, DKI JAKARTA
10140 ^ DURI PULO, GAMBIR, JAKARTA PUSAT, DKI JAKARTA
10150 ^ CIDENG, GAMBIR, JAKARTA PUSAT, DKI JAKARTA
10160 ^ PETOJO SELATAN, GAMBIR, JAKARTA PUSAT, DKI JAKARTA
10210 ^ BENDUNGAN HILIR, TANAHABANG, JAKARTA PUSAT, DKI JAKARTA
10220 ^ KARET TENGSIN, TANAHABANG, JAKARTA PUSAT, DKI JAKARTA
10230 ^ KEBON MELATI, TANAHABANG, JAKARTA PUSAT, DKI JAKARTA
10240 ^ KEBON KACANG, TANAHABANG, JAKARTA PUSAT, DKI JAKARTA
10250 ^ KAMPUNG BALI, TANAHABANG, JAKARTA PUSAT, DKI JAKARTA
10260 ^ PETAMBURAN, TANAHABANG, JAKARTA PUSAT, DKI JAKARTA
10270 ^ GELORA, TANAHABANG, JAKARTA PUSAT, DKI JAKARTA
10310 ^ MENTENG, MENTENG, JAKARTA PUSAT, DKI JAKARTA
10320 ^ PEGANGSAAN, MENTENG, JAKARTA PUSAT, DKI JAKARTA
10330 ^ CIKINI, MENTENG, JAKARTA PUSAT, DKI JAKARTA
10340 ^ KEBON SIRIH, MENTENG, JAKARTA PUSAT, DKI JAKARTA
10350 ^ GONDANGDIA, MENTENG, JAKARTA PUSAT, DKI JAKARTA
10410 ^ SENEN, SENEN, JAKARTA PUSAT, DKI JAKARTA
10420 ^ KWITANG, SENEN, JAKARTA PUSAT, DKI JAKARTA
10430 ^ KENARI, SENEN, JAKARTA PUSAT, DKI JAKARTA
10440 ^ PASEBAN, SENEN, JAKARTA PUSAT, DKI JAKARTA
10450 ^ KRAMAT, SENEN, JAKARTA PUSAT, DKI JAKARTA
10460 ^ BUNGUR, SENEN, JAKARTA PUSAT, DKI JAKARTA
10510 ^ CEMPAKA PUTIH TIMUR, CEMPAKA PUTIH, JAKARTA PUSAT, DKI JAKARTA
10520 ^ CEMPAKA PUTIH BARAT, CEMPAKA PUTIH, JAKARTA PUSAT, DKI JAKARTA
10530 ^ GALUR, JOHAR BARU, JAKARTA PUSAT, DKI JAKARTA
10540 ^ TANAH TINGGI, JOHAR BARU, JAKARTA PUSAT, DKI JAKARTA
10550 ^ KAMPUNG RAWA, JOHAR BARU, JAKARTA PUSAT, DKI JAKARTA
10560 ^ JOHAR BARU, JOHAR BARU, JAKARTA PUSAT, DKI JAKARTA
10570 ^ RAWASARI, CEMPAKA PUTIH, JAKARTA PUSAT, DKI JAKARTA
10610 ^ GUNUNG SAHARI SELATAN, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10620 ^ KEMAYORAN, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10630 ^ KEBON KOSONG, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10640 ^ HARAPAN MULYA, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10640 ^ CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10640 ^ SUMUR BATU, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10650 ^ SERDANG, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10650 ^ UTAN PANJANG, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA
10710 ^ PASAR BARU, SAWAH BESAR, JAKARTA PUSAT, DKI JAKARTA
10720 ^ GUNUNG SAHARI UTARA, SAWAH BESAR, JAKARTA PUSAT, DKI JAKARTA
10730 ^ MANGGA DUA SELATAN, SAWAH BESAR, JAKARTA PUSAT, DKI JAKARTA
10740 ^ KARANG ANYAR, SAWAH BESAR, JAKARTA PUSAT, DKI JAKARTA
10750 ^ KARTINI, SAWAH BESAR, JAKARTA PUSAT, DKI JAKARTA
11110 ^ PINANGSIA, TAMANSARI, JAKARTA BARAT, DKI JAKARTA
11120 ^ GLODOK, TAMANSARI, JAKARTA BARAT, DKI JAKARTA
11130 ^ KEAGUNGAN, TAMANSARI, JAKARTA BARAT, DKI JAKARTA
11140 ^ KRUKUT, TAMANSARI, JAKARTA BARAT, DKI JAKARTA
