JALNA SOKA,JL SOKA
PS DALAM ,PASAR 
PSR DALAM ,PASAR 
PASAR DALAM ,PASAR 
PS DLM ,PASAR 
PSR DLM ,PASAR 
PASAR DLM ,PASAR 
PS DALAM KESESI,PASAR KESESI
PSR DALAM KESESI,PASAR KESESI
PASAR BESAR KOTA MADIUN,PASAR BESAR MADIUN
Pasar Rawa Kalong
PS SAMPING ,PASAR 
PSR DALAM COMAL,PASAR COMAL
PSR DALAM GROGOLAN,PASAR GROGOLAN
A YANI,AHMAD YANI
A M SANGAJI,AM SANGAJI
A R HAKIM,AR HAKIM
AMM RIVADDIN,HAM RIFADDIN
APOLO,APOLLO
ABDURRAHMAN,ABDUL RAHMAN
AIPDA K S TUBUN,AIPDA KS TUBUN
AMBARSARI,AMBAR SARI
ARAHMAN NGASINAN,AR RAHMAN NGASINAN
A R RAHMAN,AR RAHMAN
ABDURAHMAN SALEH,ABDUL RAHMAN SALEH
ASTOKORO,ASTROKORO
AKHMAD BADAWI,KH AHMAD BADAWI
ACHMAD YANI,AHMAD YANI
AHMAT YANI,AHMAD YANI
AHMAD YANI,JENDERAL AHMAD YANI
AYANI,AHMAD YANI
ARGOBUGO,ARGOBOGA
A H NASUTION,AH NASUTION
ABD ,ABDUL 
ABD SYUKUR,ABDUL SYUKUR
ABD GHANI,ABDUL GANI
ABUBAKAR,ABU BAKAR
ABL WAHAB,ABDUL WAHAB
ABDULRAHMAN SALEH,ABDUL RAHMAN SALEH
AWIBITUNG,AWI BITUNG
BAYANGKARA,BHAYANGKARA
BEGANDAN,BAGANDAN
BLEGE,BELEGA
BAR BANJARAN,BARAT BANJARAN
BAKTI ABRI,BHAKTI ABRI
BANYU URIP,BANYUURIP
BEND MELAYU UTARA,BENDUNGAN MELAYU UTARA
BATURSARI,BATUR SARI
BLANGPIDI,BLANG PIDIE
BOJONEGORO,BOJONEGARA
BOJONG LOA,BOJONGLOA
BOSHI,BOSIH
BOSIN CIBITUNG,BOSIH CIBITUNG
BRAWIHAYA,BRAWIJAYA
BRIG JEND KATAMSO,BRIGJEND KATAMSO
BRIGJEN KATAMSO,BRIGJEND KATAMSO
BUND PU,BUNDARAN PU
BUDI,BUDHI
BL DUKU,BLOK DUKUH
BT GEBANG,BANTAR GEBANG
BRIJEN NGURAH RAI,BRIGJEN NGURAH RAI
BYPASS NGURAH RAI,BY PASS NGURAH RAI
BYPASS,BY PASS
CAKRANINGRAT,CAKRADININGRAT
CAKRING MALANG,CANGKRING MALANG
CERURING,CERORING
CIPUNEGARA,CIPUNAGARA
CIMANGLIT,CIMANGLID
CIPOR,CIFOR
CIT DI TIRO,CIK DI TIRO
CILIK RIWUT,TJILIK RIWUT
CIKESIK,CIKEUSIK
CITAYEM,CITAYAM
CILANING,CILONING
CODAN WETAN,LODAN WETAN
CIHIDENG HILIR,CIHIDEUNG HILIR
CEMP ,CEMPAKA 
CIKRETEG,CIKERETEG
DJAYENG KESUMA,JAYENG KUSUMA
DN ,DANAU 
DS , 
DN TAMBLINGAN,DANAU TAMBLINGAN
DN BERATAN,D BRATAN
DN TONDANO,DANAU TONDANO
DR SAMRATULANGI,SAMRATULANGI
DR SUTOMO,SUTOMO
DR SOETOMO,DR SUTOMO
DRS SOETOMO,DR SUTOMO
DR SETIA BUDHI,SETIA BUDHI
DR SETIABUDHI,SETIA BUDHI
DOKTER SETIA BUDHI,SETIA BUDHI
DOKTOR SETIA BUDHI,SETIA BUDHI
DOKTER SUCIPTO,DR SUCIPTO
DENDELES,DEANDLES
ERLANGGA,AIRLANGGA
EMPU NALA,EMPUNALA
FATAHILA,FATAHILLA
FUDOLI,FUDHOLI
K H FUDHOLI,FUDHOLI
GD PANJANG,GEDONG PANJANG
GN ,GUNUNG 
GN AGUNG,GUNUNG AGUNG
GN SANGHYANG,GUNUNG SANGHYANG
GN SALAK,GUNUNG SALAK
GN KELIMUTU,GN KALIMUTU
GN LEMPUYANG,GUNUNG LEMPUYANG
GN SOPUTAN,GUNUNG SOPUTAN
GATSU,GATOT SUBROTO
GUMITIR,GEMITIR
JEND GATOTSUBROTO,GATOT SUBROTO
GEDONG LIMA,GEDUNG LIMA
GEDONGSONGO,GEDONG SONGO
GERLONG,GEGER KALONG
GEGERKALONG,GEGER KALONG
GAJAHMADA,GAJAH MADA
GDE NGURAH,GEDE NGURAH
GRIA ANYAR,GRIYA ANYAR
GELGEL,GEL GEL
GLOGOR CARIK,GELOGOR CARIK
GOTNGROYONG,GOTONG ROYONG
HAJI HASYIM ASHARI,KYAI HAJI HASYIM ASHARI
HJ NUR ALI,KH NOER ALI
JOE KLP TIGA,JOE KELAPA TIGA
KYAI H HASYIM ASHARI,KYAI HAJI HASYIM ASHARI
KYAI H ABDUL HALIM,KH ABDUL HALIM
HALIM PERDANAKUSUMA,HALIM PERDANA KUSUMA
HASANUDDIN,HASANUDIN
HAYAMURUK,HAYAM WURUK
HANGTUAH,HANG TUAH
HARMAHERA,HALMAHERA
HASIM ASHARI,HASYIM ASHARI
HALIB HENDRO,HALIF HENDRO
H A M RIFADDIN,HAM RIFADDIN
H R KOROH,HR KOROH
H R RASUNA SAID,HR RASUNA SAID
H MAWI,HAJI MAWI
HUSIN TAMRIN,HUSNI THAMRIN
IR H DJUANDA,IR H JUANDA
INSINYUR H JUANDA,IR H JUANDA
IR JUANDA,IR H JUANDA
IKSAN,IKHSAN
IMAN BONJOL,IMAM BONJOL
JAESUMANTORO,JAE SUMANTORO
JALAN,JL
JENSUD,JENDERAL SUDIRMAN
JEND SUDIRMAN,JENDERAL SUDIRMAN
JENDRALSUDIRMAN,JENDERAL SUDIRMAN
JENDRAL SUDIRMAN,JENDERAL SUDIRMAN
PANGLIMA SUDIRMAN,JENDERAL SUDIRMAN
PB SUDIRMAN,JENDERAL SUDIRMAN
JEND SOEDIRMAN,JENDERAL SUDIRMAN
JEND AHMAD YANI,JENDERAL AHMAD YANI
JENDRAL AHMAD YANI,JENDERAL AHMAD YANI
JENDERAL JENDERAL AHMAD YANI,JENDERAL AHMAD YANI
JENDRAL JENDERAL AHMAD YANI,JENDERAL AHMAD YANI
JENDERAL POL ANTON SUJARWO,JEND POLISI ANTON SUJARWO
JLN,JL
JL RAYA,JL
JEMB ,JEMBATAN 
JEMB ITEM,JEMBATAN ITEM
JEMB MERAH,JEMBATAN MERAH
JAGA KARSA,JAGAKARSA
JT KRAMAT,JATI KRAMAT
KAMUNING,KEMUNING
KALIBENING,KALI BENING
KALIYOSO,KALIOSO
KARANGTENGAH,KARANG TENGAH
KARANGCEGAK,KARANG CEGAK
KARANG JATI,KARANGJATI
KAPI SRABA,KAPISRABA
KB ,KEBON 
KB BESAR,KEBON BESAR
KB KACANG,KEBON KACANG
KB KOPI,KEBON KOPI
KB PEDES,KEBON PEDES
KB DUREN,KEBON DUREN
KEB IWA,KEBO IWA
KYAI SAFII,KH SYAFII
KH SYAFI'I,KH SYAFII
KYAI H ABDUL WAHAB,KH ABDUL WAHAB
KOMP ,KOMPLEK 
KEBUN KACANG,KEBON KACANG
KEBON RUMPUT,KEBUN RUMPUT
KEBUN SIRIH,KEBON SIRIH
KEDUNGMUNDU,KEDUNG MUNDU
KENDEDES,KEN DEDES
KEPO DALAM,KEPU DALAM
KELAMBIR,KLAMBIR
KESUMA SELATAN,KUSUMA SELATAN
KUSUMA SEL,KUSUMA SELATAN
KUSUMAYUDA,KUSUMAYUDHA
KERTANEGARA,KERTA NEGARA
KEDUNGJATI,KEDUNG JATI
KHOMARUDIN,KOMARUDIN
KASABLANKA,CASABLANCA
KADUGEDE,KADU GEDE
KEPUTARAN,KEPUTRAN
KELUT TIMUR,KELUD TIMUR
KAPT SUYONO,KAPTEN SUYONO
KH NURALI,KH NOER ALI
K H MUHDI,KH MUHDI
K H ADAM,KH ADAM
K H DALHAR,KH DALHAR
KH AHMAD DAHLAN,AHMAD DAHLAN
K H AHMAD DAHLAN,AHMAD DAHLAN
AKHMAD DAHLAN,AHMAD DAHLAN
KHA DAHLAN,KH AHMAD DAHLAN
KYAI H AHMAD DAHLAN,AHMAD DAHLAN
K H WAHID HASYIM,KH WAHID HASYIM
K H HASYIM ASHARI,KYAI HAJI HASYIM ASHARI
KH ASHARI,KYAI HAJI HASYIM ASHARI
KHA AZHARI,KYAI HAJI HASYIM ASHARI
KH AZHARI,KYAI HAJI HASYIM ASHARI
KH DEWANTORO,KI HAJAR DEWANTARA
KH DEWANTARA,KI HAJAR DEWANTARA
KH MOHTAR,KH MUCHTAR
K H MUCHTAR,KH MUCHTAR
K H SULAIMAN,KH SULAIMAN
KH AGUS SALIM,AGUS SALIM
KYAI H AGUS SALIM,AGUS SALIM
KYAI HAJI AGUS SALIM,AGUS SALIM
KYAI HAJI MIMBAR,KH MIMBAR
KYAI MANGUN SARKONO,KI MANGUNSARKORO
KI HAJAR DEWANTORO,KI HAJAR DEWANTARA
KRISNA BONA,KRESNA BONA
KYAI H NOER ALI,KH NOER ALI
K H DEWANTARA,KI HAJAR DEWANTARA
KOSAMBI BAR,KOSAMBI BARAT
KOEL,KOWEL
KP ,KAMPUNG 
KP MELAYU,KAMPUNG MELAYU
KP BESAR,KAMPUNG BESAR
KP MUKA,KAMPUNG MUKA
KR ANYAR,KARANG ANYAR
KMP MELAYU,KAMPUNG MELAYU
KALIBARU,KALI BARU
KLP MANIS,KELAPA MANIS
KEMOJING,KAMOJING
KAP SOEBIANTO DJOJO HADIKUSUMO,KAPTEN SOEBIJANTO DJOJOHADIKUSUMO
KW INDUSTRI,KAWASAN INDUSTRI
KHAFI,MOCH KAHFI
LAP ,LAPANGAN 
LAP TEMBAK,LAPANGAN TEMBAK
LAP KONI,LAPANGAN KONI
LKR KAMPUNG UTAN,LINGKAR KAMPUNG UTAN
LABON,LABAN
LESANPURA,LESAN PURA
LANGEN HARJO,LANGENHARJO
LETJEN SOEPENO,LET JEND SOEPENO
LET JEND PARMAN,LET JEND S PARMAN
LETJEN S PARMAN,LET JEND S PARMAN
LETJEND PARMAN,LET JEND S PARMAN
LETJEN M T HARYONO,MT HARYONO
LETJEN R SUPRAPTO,LET JEND SUPRAPTO
LETNAN JENDERAL SUPRAPTO,LET JEND SUPRAPTO
LETJEND SUPRAPTO,LET JEND SUPRAPTO
LETJEN SUPRAPTO,LET JEND SUPRAPTO
LETKOL BASYIR SURYA,LETKOL BASIR SURYA
LETU RM HARTONO,LETTU RM HARTONO
LKR ,LINGKAR 
LKR LUAR SEL,LINGKAR LUAR SELATAN
LKR SELATAN,LINGKAR SELATAN
LINGKAR BAR ,LINGKAR BARAT 
LINSUM,LINTAS SUMATERA
L L R E MARTADINATA,LLRE MARTADINATA
LW LIANG,LEUWILIANG
LETNAN MUKHTAR SALEH,LETNAN MUCHTAR SALEH
LPMD TIRTOMARTANI,TIRTOMARTANI
 MAL , MALL 
MANGUNJAYA,MANGUN JAYA
MADUKORO,MADUKARA
MAY SALIM BATUBARA,MAYOR SALIM BATUBARA
MAYJEN BAMBANG SOEGENG,MAYJEND BAMBANG SOEGENG
MAYJEN SUTOYO,MAYOR JEND SUTOYO
MAYJEND SUTOYO,MAYOR JEND SUTOYO
MAYJEN SUNGKONO,MAYJEND SUNGKONO
MAYOR SALIM BATUBARA,SALIM BATUBARA
MARDRASAH,MADRASAH
MENTRI SUPENO,MENTERI SUPENO
MOJOPAIT,MOJOPAHIT
M H THAMRIN,MH THAMRIN
M T HARYONO,MT HARYONO
MT HARIIONO,MT HARYONO
MAYJEN HARYONO,MT HARYONO
MANDORADEN SANIM,MANDOR SAMIN
MOCH KHAFI,MOCH KAHFI
MOH YAMIN,MOCH YAMIN
MOH HATTA,MOCH HATTA
MOH ALI,MOCH ALI
MOCHAMAD TOHA,MOCH TOHA
MOCHTAR,MUCHTAR
MP MANGKUNEGARA,MUCH PRABU MANGKUNEGARA
MURIA GEMBONG,MUARA GEMBONG
MUDUTAKI,MUDU TAKI
NAGKA SELATAN,NANGKA SELATAN
NARAGONG,NAROGONG
NGR RAI,NGURAH RAI
NYI REJA PERMAS,NYI RAJA PERMAS
OTISTA,OTTO ISKANDARDINATA
